8159,The Group Of 78/Le Groupe Des 78,78Le Groupe Des 78,9373,2018-01-01 14:39:36.717
12001,80 K-W Spitfire Air Cadet Squadron Sponsoring Committee,80 Kw Spitfire Air Cadet Squadron Sponsoring Committee,13584,2018-01-01 14:39:36.717
11168,8069697 Canada Centre,8069697 Canada,12703,2018-01-01 14:39:36.717
1408,859530 Ontario Inc,859530 Ontario,1408,2019-09-01 14:30:42.943
12967,970 Dixon Holdings Inc. O/A Holiday Inn Toronto International Airport,970 Dixon Holdings Holiday Inn Toronto Airport,14844,2019-03-01 00:00:00.000
8136,A Child'S Voice Foundation-La Fondation Une Voix D'Enfant,A Childs Voice Foundationla Fondation Une Voix Denfant,9349,2018-01-01 14:39:36.717
12012,A Colheita Ministry,A Colheita Ministry,13595,2018-01-01 14:39:36.717
7953,A Community For Offender Reconciliation And Diversion,A Community Offender Reconciliation Diversion,9146,2018-01-01 14:39:36.717
7303,A Cross Mission Organization,A Cross Mission,8428,2018-01-01 14:39:36.717
11017,A Cup For Africa Mission,A Cup Africa Mission,12543,2018-01-01 14:39:36.717
11354,A Company Of Fools Theatre Inc,A Fools Theatre,12899,2018-01-01 14:39:36.717
3179,Centre De Services À La Famille/ Region De La Capitale Nationale,À La Famille Region La Capitale Nationale,3715,2018-01-01 14:39:36.717
6048,Services A La Jeunesse De Hearst (S.J.H.) Inc.,A La Jeunesse Hearst Sjh,7062,2018-01-01 14:39:36.717
1315,Centre De Services A L'Emploi De Prescott-Russell Inc,A Lemploi Prescottrussell,1315,2019-09-01 14:30:42.943
3756,Service A L'Enfance Aladin Childcare Services Inc.,A Lenfance Aladin Childcare,4449,2018-01-01 14:39:36.717
2864,Service À L'Enfance Et À La Famille La Coccinelle,À Lenfance Et À La Famille La Coccinelle,3390,2018-01-01 14:39:36.717
2862,Services A L'Enfance Et A La Famille Du Timiskaming Child And Family Services,A Lenfance Et A La Famille Timiskaming Child Family,3232,2018-01-01 14:39:36.717
11461,A Love Of Tennis Inc./Pour L'Amour De Tennis,A Love Tennis Incpour Lamour Tennis,13009,2018-01-01 14:39:36.717
4334,A Place Called Home Residence In Lindsay,A Place Called Home Residence In Lindsay,5126,2018-01-01 14:39:36.717
3392,A Place To Play Nursery School Of Bloor West Village,A Place To Play Nursery School Bloor West Village,4008,2018-01-01 14:39:36.717
5014,A Post Psychiatric Leisure Experience (Apple),A Post Psychiatric Leisure Experience Apple,5908,2018-01-01 14:39:36.717
2260,A. Sheila Boyd Foundation,A Sheila Boyd,2264,2018-01-01 14:39:36.717
6235,Learning For A Sustainable Future/L'Education Au Service De La Terre,A Sustainable Futureleducation Au La Terre,7267,2018-01-01 14:39:36.717
7711,A Visit With Mrs. G. Ministries Inc.,A Visit With Mrs G Ministries,8877,2018-01-01 14:39:36.717
7711,A Visit With Mrs G Ministries Inc.,A Visit With Mrs G Ministries,13424,2018-01-01 14:39:36.717
10667,A Life Worth Living,A Worth Living,12161,2018-01-01 14:39:36.717
5088,A Y Alienated Youth Of Canada,A Y Alienated Youth Canada,6259,2018-01-01 14:39:36.717
3449,Aaia Allergy/Asthma Information Association,Aaia Allergyasthma Information,4076,2018-01-01 14:39:36.717
11198,Abandoned Cats Rescue,Abandoned Cats Rescue,12734,2018-01-01 14:39:36.717
10275,Abba'S Home Ministries,Abbas Home Ministries,11728,2018-01-01 14:39:36.717
7563,Abbey Gardens Community Trust,Abbey Community Trust,8714,2018-01-01 14:39:36.717
8488,Abbeyfield Houses Society Of Caledon,Abbeyfield Houses Caledon,9740,2018-01-01 14:39:36.717
4981,Abbeyfield Houses Society Of Canada,Abbeyfield Houses Canada,5873,2018-01-01 14:39:36.717
8288,Abbeyfield Houses Society Of Durham,Abbeyfield Houses Durham,9515,2018-01-01 14:39:36.717
9632,Abbeyfield Houses Society Of Ottawa,Abbeyfield Houses Ottawa,11005,2018-01-01 14:39:36.717
4606,Abbeyfield Houses Society Of Toronto,Abbeyfield Houses Toronto,5445,2018-01-01 14:39:36.717
1556,Abbvie Corporation,Abbvie,1556,2019-09-01 14:30:42.943
3031,Abc Day Nursery Of Windsor,Abc Day Nursery Windsor,3475,2018-01-01 14:39:36.717
12567,Abc Inoac Exterior Systems Inc.,Abc Inoac Exterior Systems,14249,2016-10-01 00:00:00.000
4601,Abc Life Literacy Canada,Abc Literacy Canada,5440,2018-01-01 14:39:36.717
7866,Abcs And Rice,Abcs Rice,9050,2018-01-01 14:39:36.717
5468,The Abelard Centre For Education,Abelard Education,6421,2018-01-01 14:39:36.717
3156,"Aberdeen Health And Community Services, Brant-Norfolk-Haldimand",Aberdeen Health Community Brantnorfolkhaldimand,3680,2018-01-01 14:39:36.717
12000,Abiding Place Ministries,Abiding Place Ministries,13583,2018-01-01 14:39:36.717
2267,Abigail'S Learning Centre Inc.,Abigails,2277,2018-01-01 14:39:36.717
2896,Abilities Centre Durham,Abilities Durham,3283,2018-01-01 14:39:36.717
11658,Ability First Ottawa Inc.,Ability First Ottawa,13214,2018-01-01 14:39:36.717
7357,Ability Online Support Network,Ability Online Support Network,8487,2018-01-01 14:39:36.717
6591,The Able Network Corporation,Able Network,7649,2018-01-01 14:39:36.717
6243,Able Sail Kingston Learn To Sail Program Inc.,Able Sail Kingston Learn To Sail Program,7276,2018-01-01 14:39:36.717
480,Ableliving Services Inc.,Ableliving,3167,2018-01-01 14:39:36.717
480,Ableliving Services Inc,Ableliving,480,2019-09-01 14:30:42.943
8095,Aboriginal Bible Academy,Aboriginal Bible,9302,2018-01-01 14:39:36.717
1184,Aboriginal Legal Services Inc,Aboriginal Legal,1184,2019-09-01 14:30:42.943
1184,Aboriginal Legal Services Of Toronto Inc.,Aboriginal Legal Toronto,4041,2018-01-01 14:39:36.717
5944,The Centre For Aboriginal Media (Ontario),Aboriginal Media Ontario,6945,2018-01-01 14:39:36.717
4795,Aboriginal Peoples Alliance (North Ontario),Aboriginal Peoples North Ontario,5656,2018-01-01 14:39:36.717
1522,Aboriginal Sport And Wellness Council Of Ontario,Aboriginal Sport Wellness Ontario,1522,2019-09-01 14:30:42.943
6536,Aboriginal Youth Non-Profit Housing Corporation Of Ottawa,Aboriginal Youth Nonprofit Housing Ottawa,7702,2018-01-01 14:39:36.717
7211,Aboutface Craniofacial Family Society,Aboutface Craniofacial Family,8331,2018-01-01 14:39:36.717
9638,Above All Christian Gathering,Above Christian Gathering,11012,2018-01-01 14:39:36.717
4926,The Abraham Kuyper Chirstian Citizen Foundation,Abraham Kuyper Chirstian Citizen,5806,2018-01-01 14:39:36.717
4553,Abrigo Centre,Abrigo,5390,2018-01-01 14:39:36.717
9139,Abu Huraira Center,Abu Huraira,10454,2018-01-01 14:39:36.717
10102,Abundant Life Assembly Windsor Incorporated,Abundant Assembly Windsor,11532,2018-01-01 14:39:36.717
9463,The Abundant Life Center Of Niagra,Abundant Niagra,10814,2018-01-01 14:39:36.717
9875,Abundant Life Spiritual Healing Centre Of Sudbury Inc.,Abundant Spiritual Healing Sudbury,11282,2018-01-01 14:39:36.717
2426,Abuse Program Of York Region,Abuse Program York Region,6061,2018-01-01 14:39:36.717
2866,Centre For Abuse And Trauma Therapy Inc.,Abuse Trauma Therapy,3238,2018-01-01 14:39:36.717
3820,Abwe Global Inc.,Abwe,4522,2018-01-01 14:39:36.717
12728,Council Of Academic Hospitals Of Ontario (Caho),Academic Hospitals Ontario Caho,14472,2017-06-01 00:00:00.000
7114,Académie De Rockland / Rockland Academy,Académie Rockland Rockland,8225,2018-01-01 14:39:36.717
2622,Academie Ste. Cecile International School,Academie Ste Cecile School,2873,2018-01-01 14:39:36.717
10885,Accelerated Learning Program (Alp),Accelerated Program Alp,12401,2018-01-01 14:39:36.717
11982,Acceptional Riders,Acceptional Riders,13564,2018-01-01 14:39:36.717
2051,Accertaclaim Servicorp Inc,Accertaclaim Servicorp,2051,2019-09-01 14:30:42.943
738,Access Apartments For Physically Disabled Adults In Toronto,Access Apartments Physically Disabled Adults In Toronto,4175,2018-01-01 14:39:36.717
5107,Access Better Living Inc./Vie Independante Et Enrichie Inc.,Access Better Living Incvie Independante Et Enrichie,6012,2018-01-01 14:39:36.717
5107,Access Better Living Inc /Vie Independante Et Enrichie Inc,Access Better Living Vie Independante Et Enrichie,6137,2018-01-01 14:39:36.717
81,Access Community Services Incorporated,Access Community,81,2019-09-01 14:30:42.943
7666,Access Community Capital Fund,Access Community Capital Fund,8829,2018-01-01 14:39:36.717
5784,Access Counselling & Family Services,Access Counselling Family,6769,2018-01-01 14:39:36.717
4500,Access County Community Support Services,Access County Community Support,5327,2018-01-01 14:39:36.717
738,Access Independent Living Services,Access Independent Living,738,2019-09-01 14:30:42.943
1102,Access Alliance Multicultural Health And Community Services,Access Multicultural Health Community,1102,2019-09-01 14:30:42.943
5570,Access For Parents And Children In Ontario,Access Parents Children In Ontario,6535,2018-01-01 14:39:36.717
1384,Accessible Community Counselling & Employment Services,Accessible Community Counselling Employment,1384,2019-09-01 14:30:42.943
1384,(A.C.C.E.S.) Accessible Community Counselling And Employment Services,Accessible Community Counselling Employment Acces,2842,2018-01-01 14:39:36.717
3364,Accessible Media Inc.,Accessible Media,3972,2018-01-01 14:39:36.717
1001,Acclaim Health And Community Care Services,Acclaim Health Community Care,1001,2019-09-01 14:30:42.943
1222,Accommodation Info & Support Inc,Accommodation Info Support,1222,2019-09-01 14:30:42.943
1222,"Accommodation, Information And Support Inc.",Accommodation Information Support,4776,2018-01-01 14:39:36.717
3460,Accreditation Canada International,Accreditation Canada,4087,2018-01-01 14:39:36.717
2574,Accreditation Canada / Agrément Canada,Accreditation Canada Agrément Canada,2795,2018-01-01 14:39:36.717
12559,Accucaps Industries Ltd,Accucaps,14241,2016-10-01 00:00:00.000
12836,Accuride Canada Inc.,Accuride Canada,14649,2018-05-01 00:00:00.000
8360,Ace Ministries,Ace Ministries,9596,2018-01-01 14:39:36.717
6247,A.C.E.D. - The Association For Cultural And Educational Development / A.C.E.D. - L'Association Pour Le Développement Culturel Et Éducationnel,Aced Cultural Educational Aced Lassociation Pour Le Développement Culturel Et Éducationnel,7280,2018-01-01 14:39:36.717
5731,Acer Association For Canadian Educational Resources,Acer Canadian Educational Resources,6712,2018-01-01 14:39:36.717
5974,Aceworks Support Network,Aceworks Support Network,6978,2018-01-01 14:39:36.717
8669,Acheinu Organization,Acheinu,9943,2018-01-01 14:39:36.717
11783,Achilles Track Club Of Canada,Achilles Track Canada,13348,2018-01-01 14:39:36.717
5044,Achimota Centre For Children With Autism,Achimota Children With Autism,5943,2018-01-01 14:39:36.717
8087,Aciac,Aciac,9292,2018-01-01 14:39:36.717
8101,Acorn Institute Canada,Acorn Institute Canada,9308,2018-01-01 14:39:36.717
7153,Acorn To Oak Youth Services,Acorn To Oak Youth,8270,2018-01-01 14:39:36.717
1437,Across Boundaries,Across Boundaries,1437,2019-09-01 14:30:42.943
1437,Across Boundaries: An Ethnoracial Mental Health Centre,Across Boundaries An Ethnoracial Mental Health,4335,2018-01-01 14:39:36.717
3554,Across Languages: Translation And Interpretation Service,Across Languages Translation Interpretation,4198,2018-01-01 14:39:36.717
6357,Across U-Hub,Across Uhub,7399,2018-01-01 14:39:36.717
7447,Act To End Violence Against Women,Act To End Violence Against Women,8589,2018-01-01 14:39:36.717
6729,Acting Up Stage Theatre Company Inc.,Acting Up Stage Theatre,8013,2018-01-01 14:39:36.717
4330,Action Against Hunger Acf (Canada) Action Contre La Faim Acf (Canada),Action Against Hunger Acf Action Contre La Faim Acf Canada Canada,5121,2018-01-01 14:39:36.717
3556,Action Canada Foundation,Action Canada,4202,2018-01-01 14:39:36.717
5554,Action Canada For Sexual Health And Rights / Action Pour La Santé Et Les Droits Sexuels,Action Canada Sexual Health Rights Action Pour La Santé Et Les Droits Sexuels,6517,2018-01-01 14:39:36.717
11620,Action Cind / Action Mcin,Action Cind Action Mcin,13176,2018-01-01 14:39:36.717
8645,Club Action Hearst,Action Hearst,9914,2018-01-01 14:39:36.717
5006,"Action Group On Erosion, Technology And Concentration",Action On Erosion Concentration,5900,2018-01-01 14:39:36.717
4439,Action Life Ottawa Inc.,Action Ottawa,5256,2018-01-01 14:39:36.717
4558,Action Read Community Literacy Centre Of Guelph,Action Read Community Literacy Guelph,5395,2018-01-01 14:39:36.717
4993,Action-Logement Centre D'Information Region D'Ottawa-Carleton,Actionlogement Dinformation Region Dottawacarleton,5886,2018-01-01 14:39:36.717
6504,Active Adult Centre Of Mississauga,Active Adult Mississauga,7555,2018-01-01 14:39:36.717
8858,Active Aging Canada Inc./Vieillir Activement Canada Inc.,Active Aging Canada Incvieillir Activement Canada,11155,2018-01-01 14:39:36.717
11174,Active Cambridge Fitness Program,Active Cambridge Fitness Program,12709,2018-01-01 14:39:36.717
11690,Active Chefs,Active Chefs,13246,2018-01-01 14:39:36.717
12835,Active Exhaust Corp.,Active Exhaust,14648,2018-05-01 00:00:00.000
7257,Active Healthy Kids Canada,Active Healthy Kids Canada,13333,2018-01-01 14:39:36.717
7257,Active Healthy Kids Canada / Jeunes En Forme Canada,Active Healthy Kids Canada Jeunes En Forme Canada,8378,2018-01-01 14:39:36.717
8509,Active Lives After School Dufferin,Active Lives After School Dufferin,9761,2018-01-01 14:39:36.717
6427,Active Living Alliance For Canadians With A Disability Alliance De Vie Active Pour Les Canadiens/Canadiennes Ayant Un Handicap,Active Living Canadians With A Disability Vie Active Pour Les Canadienscanadiennes Ayant Un Handicap,7472,2018-01-01 14:39:36.717
8858,Active Living Coalition For Older Adults/Coalition D'Une Vieactive Pour Les Aine(E)S,Active Living Coalition Older Adultscoalition Dune Vieactive Pour Les Aines E,10143,2018-01-01 14:39:36.717
5342,Activity Haven Senior Centre (Peterborough),Activity Haven Senior Peterborough,6278,2018-01-01 14:39:36.717
9662,Acton Legion Senior Residences Incorporated,Acton Legion Senior Residences,11037,2018-01-01 14:39:36.717
10592,Acton Seniors' Recreation Centre,Acton Seniors Recreation,12075,2018-01-01 14:39:36.717
6744,Actors Fund Of Canada,Actors Fund Canada,7815,2018-01-01 14:39:36.717
8746,Acts 13 Christian Ministries,Acts 13 Christian Ministries,10027,2018-01-01 14:39:36.717
8696,Acts Christian Fellowship Inc.,Acts Christian Fellowship,9975,2018-01-01 14:39:36.717
7750,Acts Of Grace Foundation,Acts Grace,8924,2018-01-01 14:39:36.717
2524,Actua,Actua,2715,2018-01-01 14:39:36.717
4522,Adam House,Adam House,5354,2018-01-01 14:39:36.717
10866,Adam'S Hope (A Quinte Learning Resource For Children With Autism),Adams Hope A Quinte Resource Children With Autism,12382,2018-01-01 14:39:36.717
1445,Adapt Pharma Canada Ltd,Adapt Canada,1445,2019-09-01 14:30:42.943
11613,Adaptive Cooking Program,Adaptive Cooking Program,13169,2018-01-01 14:39:36.717
3728,Adath Israel Congregation,Adath Israel Congregation,4409,2018-01-01 14:39:36.717
4002,Addiction Services Of Brant Inc.,Addiction Brant,4741,2018-01-01 14:39:36.717
3894,Addiction Services Of Eastern Ontario/ Services De Toxicoman,Addiction Eastern Ontario Toxicoman,4611,2018-01-01 14:39:36.717
4039,Addiction Services (Hastings And Prince Edward Counties) Inc,Addiction Hastings Prince Edward Counties,4781,2018-01-01 14:39:36.717
1916,Centre For Addiction And Mental Health,Addiction Mental Health,2309,2018-01-01 14:39:36.717
2860,Centre For Addiction And Mental Health Foundation,Addiction Mental Health,3229,2018-01-01 14:39:36.717
12186,Centre For Addiction And Mental Health,Addiction Mental Health,13782,2016-01-01 00:00:00.000
12597,Centre For Addiction And Mental Health,Addiction Mental Health,14281,2016-10-01 00:00:00.000
1916,Centre For Addiction & Mental Health (Camh),Addiction Mental Health Camh,1916,2019-09-01 14:30:42.943
12186,Centre For Addiction And Mental Health (Camh),Addiction Mental Health Camh,14426,2017-04-01 00:00:00.000
1346,Addiction And Mental Health Services - Kfla,Addiction Mental Health Kfla,1346,2019-09-01 14:30:42.943
4405,Addiction Outreach Muskoka Parry Sound,Addiction Outreach Muskoka Parry Sound,5210,2018-01-01 14:39:36.717
1261,Addiction Services Of Thames Valley,Addiction Thames Valley,1261,2019-09-01 14:30:42.943
1231,Addiction Services For York Region,Addiction York Region,3744,2018-01-01 14:39:36.717
1231,Addiction Services Of York Region,Addiction York Region,1231,2019-09-01 14:30:42.943
12927,Addictions Mental Health Services,Addictions Mental Health,14782,2018-12-01 00:00:00.000
1826,Addictions And Mental Health Services - Hasting Prince Edward,Addictions Mental Health Hasting Prince Edward,2372,2018-01-01 14:39:36.717
1826,Addictions And Mental Health Services - Hastings Prince Edward,Addictions Mental Health Hastings Prince Edward,1826,2019-09-01 14:30:42.943
5689,Addictions And Mental Health Ontario,Addictions Mental Health Ontario,6665,2018-01-01 14:39:36.717
5689,Addictions Ontario,Addictions Ontario,13334,2018-01-01 14:39:36.717
4892,Addus,Addus,5769,2018-01-01 14:39:36.717
11161,Adelheid Dance Projects,Adelheid Dance Projects,12696,2018-01-01 14:39:36.717
2277,Admaston Cemetery,Admaston Cemetery,2299,2018-01-01 14:39:36.717
3645,Adolescent'S Family Support Services Of Niagara,Adolescents Family Support Niagara,4304,2018-01-01 14:39:36.717
10127,Adopt-A-Dog Save-A-Life Inc.,Adoptadog Savealife,11561,2018-01-01 14:39:36.717
6845,Adoption Council Of Canada - Conseil D'Adoption Du Canada,Adoption Canada Conseil Dadoption Canada,7925,2018-01-01 14:39:36.717
2105,Adoption Council Of Ontario,Adoption Ontario,2105,2019-09-01 14:30:42.943
9516,Adoration United Reformed Church,Adoration United Reformed,10877,2018-01-01 14:39:36.717
3860,Adra Canada,Adra Canada,4571,2018-01-01 14:39:36.717
3860,"Adra, Canada",Adra Canada,5313,2018-01-01 14:39:36.717
8808,Adullam Camp Ministries,Adullam Camp Ministries,10090,2018-01-01 14:39:36.717
7093,Adult Basic Education Association Of Hamilton-Wentworth,Adult Basic Education Hamiltonwentworth,8203,2018-01-01 14:39:36.717
3858,The Adult Literacy Council Of Greater Fort Erie,Adult Literacy Greater Fort Erie,4569,2018-01-01 14:39:36.717
288,Adult Recreation Therapy Centre,Adult Recreation Therapy,288,2019-09-01 14:30:42.943
8161,Adult Learning & Training Centre,Adult Training,9377,2018-01-01 14:39:36.717
5791,"Advanced Coronary Treatment (Act) Foundation Of Canada, Inc.",Advanced Coronary Treatment Canada Act,6776,2018-01-01 14:39:36.717
3172,Advancing Canadian Entrepreneurship,Advancing Canadian Entrepreneurship,6813,2018-01-01 14:39:36.717
8302,Advancing The Ministries Of The Gospel International,Advancing Ministries Gospel,9530,2018-01-01 14:39:36.717
3906,Advantage Ontario - Advancing Senior Care,Advantage Ontario Advancing Senior Care,4631,2018-01-01 14:39:36.717
452,Advent Health Care Corporation,Advent Health Care,3349,2018-01-01 14:39:36.717
6557,Adventist Christian Elementary School,Adventist Christian Elementary School,8402,2018-01-01 14:39:36.717
84,Adventure Place,Adventure Place,84,2019-09-01 14:30:42.943
7030,Aeolian Hall Musical Arts Association,Aeolian Hall Musical Arts,8130,2018-01-01 14:39:36.717
10730,Aeolian Winds,Aeolian Winds,12224,2018-01-01 14:39:36.717
2470,Aeric Inc.,Aeric,2634,2018-01-01 14:39:36.717
625,Affiliated Services For Children And Youth Inc.,Affiliated Children Youth,3913,2018-01-01 14:39:36.717
625,Affiliated Services For Children & Youth Inc,Affiliated Children Youth,625,2019-09-01 14:30:42.943
9499,Affordable Housing Halton,Affordable Housing Halton,10857,2018-01-01 14:39:36.717
2959,Afghan Women'S Counselling & Integration Community Support Organization,Afghan Womens Counselling Integration Community Support,3995,2018-01-01 14:39:36.717
2959,Afghan Women'S Organization Refugee And Immigrant Services,Afghan Womens Refugee Immigrant,3367,2018-01-01 14:39:36.717
3386,Africa Inland Mission International (Canada),Africa Inland Mission Canada,4002,2018-01-01 14:39:36.717
11979,Africain-Canadian Christian Network - Réseau Chrétien Canadien Africain,Africaincanadian Christian Network Réseau Chrétien Canadien Africain,13561,2018-01-01 14:39:36.717
10395,African Canadian Association Of Waterloo Region And Area,African Canadian Waterloo Region Area,11854,2018-01-01 14:39:36.717
2941,African Community Services Of Peel,African Community Peel,3341,2018-01-01 14:39:36.717
4349,The African Institute For Mathematical Sciences - Next Einstein Initiative Foundation (Canada),African Institute Mathematical Next Einstein Initiative Canada,5142,2018-01-01 14:39:36.717
8695,African Missions North America (Canada Chapter) Inc.,African Missions North America Canada Chapter,9974,2018-01-01 14:39:36.717
8573,African Theatre Ensemble,African Theatre Ensemble,9831,2018-01-01 14:39:36.717
8013,African Training And Employment Centre Of Toronto,African Training Employment Toronto,9212,2018-01-01 14:39:36.717
5700,Africans In Partnership Against Aids,Africans In Against Aids,6678,2018-01-01 14:39:36.717
9023,Africycle,Africycle,10323,2018-01-01 14:39:36.717
11008,Afro-Canadian Caribbean Association Of Hamilton & District,Afrocanadian Caribbean Hamilton District,12534,2018-01-01 14:39:36.717
12918,Afton Park Place Long Term Care Community,Afton Place Long Term Care Community,14768,2018-10-01 00:00:00.000
2758,Aga Khan Foundation Canada/Fondation Aga Khan Canada,Aga Khan Canadafondation Aga Khan Canada,3089,2018-01-01 14:39:36.717
2882,The Aga Khan Museum - Le Musée Aga Khan,Aga Khan Museum Le Musée Aga Khan,3265,2018-01-01 14:39:36.717
11653,Against The Grain Theatre Inc.,Against Grain Theatre,13209,2018-01-01 14:39:36.717
6058,Agape Centre (Help To The Needy) Cornwall Inc Centre Agape (Assistance Aux Demunis) Cornwall Inc,Agape Cornwall Agape Cornwall Help To Needy Assistance Aux Demunis,7072,2018-01-01 14:39:36.717
12091,Agape Ministries,Agape Ministries,13675,2018-01-01 14:39:36.717
8834,Agidasin Initiatives,Agidasin Initiatives,10117,2018-01-01 14:39:36.717
3350,Agincourt Community Services Association Inc.,Agincourt Community,3956,2018-01-01 14:39:36.717
8737,Aglow International Canada,Aglow Canada,10018,2018-01-01 14:39:36.717
8653,Agricola Finnish Lutheran Congregation,Agricola Finnish Lutheran Congregation,9923,2018-01-01 14:39:36.717
2181,Agricorp,Agricorp,2181,2019-09-01 14:30:42.943
2144,Agricultural Adaptation Council (Aac),Agricultural Adaptation Aac,2144,2019-09-01 14:30:42.943
1739,Agricultural Research Institute Of Ontario,Agricultural Research Institute Ontario,1739,2019-09-01 14:30:42.943
1072,Agri-Food Management Institute,Agrifood Management Institute,1072,2019-09-01 14:30:42.943
